1,Naruto,Uzumaki,naruto.uzumaki,password1,true
2,Sasuke,Uchiha,sasuke.uchiha,password2,true
3,Sakura,Haruno,sakura.haruno,password3,true
4,Kakashi,Hatake,kakashi.hatake,password4,true
5,Goku,Son,goku.son,password5,true
6,Vegeta,Prince,vegeta.prince,password6,true
7,Ichigo,Kurosaki,ichigo.kurosaki,password7,true
8,Rukia,Kuchiki,rukia.kuchiki,password8,true
9,Luffy,Monkey,luffy.monkey,password9,true
10,Zoro,Roronoa,zoro.roronoa,password10,true
11,Shoto,Todoroki,shoto.todoroki,password11,true
12,Eren,Yeager,eren.yeager,password12,true
13,Mikasa,Ackerman,mikasa.ackerman,password13,true
14,Levi,Ackerman,levi.ackerman,password14,true
15,Edward,Elric,edward.elric,password15,true
16,Alphonse,Elric,alphonse.elric,password16,true
17,Natsu,Dragneel,natsu.dragneel,password17,true
18,Laxus,Dreyar,laxus.dreyar,password18,true
19,Gon,Freecss,gon.freecss,password19,true
20,Killua,Zoldyck,killua.zoldyck,password20,true
21,Yusuke,Urameshi,yusuke.urameshi,password21,true
22,Hiei,Jagan,hiei.jagan,password22,true
23,Yugi,Mutou,yugi.mutou,password23,true
24,Seto,Kaiba,seto.kaiba,password24,true
25,Light,Yagami,light.yagami,password25,true
26,Detective,Pikachu,detective.pikachu,password26,true
27,Ichigo,Kujo,ichigo.kujo,password27,true
28,Rintarou,Okabe,rintarou.okabe,password28,true
29,Kurisu,Makise,kurisu.makise,password29,true
30,Shinji,Ikari,shinji.ikari,password30,true
31,Rei,Ayanami,rei.ayanami,password31,true
32,Asuka,Soryu,asuka.soryu,password32,true
33,Kirito,Kirigaya,kirito.kirigaya,password33,true
34,Asuna,Yuuki,asuna.yuuki,password34,true
35,Guts,Guts,guts.guts,password35,true
36,Griffith,WhiteHawk,griffith.whitehawk,password36,true
37,Ken,Kaneki,ken.kaneki,password37,true
38,Touka,Kirishima,touka.kirishima,password38,true
39,Spike,Spiegel,spike.spiegel,password39,true
40,Jet,Black,jet.black,password40,true
41,Edward,Ed,edward.ed,password41,true
42,Vash,Stampede,vash.stampede,password42,true
43,Knives,Millions,knives.millions,password43,true
44,Ryuko,Matoi,ryuko.matoi,password44,true
45,Satsuki,Kiryuin,satsuki.kiryuin,password45,true
46,Yukihira,Soma,yukihira.soma,password46,true
47,Erina,Nakiri,erina.nakiri,password47,true
48,Asta,Blackbull,asta.blackbull,password48,true
49,Yuno,Grimoire,yuno.grimoire,password49,true
50,Boruto,Uzumaki,boruto.uzumaki,password50,true
51,Shikamaru,Nara,shikamaru.nara,password51,true
52,Hinata,Hyuga,hinata.hyuga,password52,true
53,Gaara,Sabaku,gaara.sabaku,password53,true
54,Nezuko,Kamado,nezuko.kamado,password54,true
55,Tanjiro,Kamado,tanjiro.kamado,password55,true
56,Giyu,Tomiyoka,giyu.tomiyoka,password56,true
57,Zenitsu,Agatsuma,zenitsu.agatsuma,password57,true
58,Inosuke,Hashibira,inosuke.hashibira,password58,true
59,Megumin,Explosion,megumin.explosion,password59,true
60,Aqua,Goddess,aqua.goddess,password60,true
61,Kazuma,Satou,kazuma.satou,password61,true
62,Rem,Rem,rem.rem,password62,true
63,Emilia,Emilia,emilia.emilia,password63,true
64,Subaru,Natsuki,subaru.natsuki,password64,true
65,Toru,Honda,toru.honda,password65,true
66,Yuki,Soma,yuki.soma,password66,true
67,Kyo,Soma,kyo.soma,password67,true
68,Edward,Newgate,edward.newgate,password68,true
69,Shanks,Redhair,shanks.redhair,password69,true
70,Trafalgar,Law,trafalgar.law,password70,true
71,Boa,Hancock,boa.hancock,password71,true
72,Nico,Robin,nico.robin,password72,true
73,Nami,Nami,nami.nami,password73,true
74,Franky,Franky,franky.franky,password74,true
75,Uryu,Ishida,uryu.ishida,password75,true
76,Renji,Abarai,renji.abarai,password76,true
77,Orihime,Inoue,orihime.inoue,password77,true
78,Chad,Sado,chad.sado,password78,true
79,Rukia,Kuchiki,rukia.kuchiki2,password79,true
80,Byakuya,Kuchiki,byakuya.kuchiki,password80,true
81,Neji,Hyuga,neji.hyuga,password81,true
82,Tsunade,Senju,tsunade.senju,password82,true
83,Orochimaru,Sannin,orochimaru.sannin,password83,true
84,Itachi,Uchiha,itachi.uchiha,password84,true
85,Deidara,Akasuna,deidara.akasuna,password85,true
86,Kisame,Hoshigaki,kisame.hoshigaki,password86,true
87,Hidan,Jashin,hidan.jashin,password87,true
88,Obito,Uchiha,obito.uchiha,password88,true
89,Madara,Uchiha,madara.uchiha,password89,true
90,Kaguya,Ootsutsuki,kaguya.ootsutsuki,password90,true
91,Kiba,Inuzuka,kiba.inuzuka,password91,true
92,Shino,Aburame,shino.aburame,password92,true
93,Rock,Lee,rock.lee,password93,true
94,Tenten,Tenten,tenten.tenten,password94,true
95,Temari,Temari,temari.temari,password95,true
96,Kankuro,Kankuro,kankuro.kankuro,password96,true
97,Minato,Namikaze,minato.namikaze,password97,true
98,Saitama,Hero,saitama.hero,password98,true
99,Genos,Cyborg,genos.cyborg,password99,true
100,Bang,Silverfang,bang.silverfang,password100,true
